Age,Sex,Employment_Type,Monthly_Income_INR,Existing_EMI_INR,CIBIL_Score,Loan_Amount_INR,Loan_Purpose,Housing_Type,Loan_Tenure_Months,Is_Default
67,male,Skilled Employee,55254,8866,900,58450,Consumer Durable Loan,Self-Owned,6,0
22,female,Skilled Employee,84238,35251,782,297550,Consumer Durable Loan,Self-Owned,48,1
49,male,Unskilled Resident,16252,6631,765,104800,Education Loan,Self-Owned,12,1
45,male,Skilled Employee,79764,22910,800,394100,Consumer Durable Loan,Family-Owned,42,0
53,male,Skilled Employee,52173,13948,669,243500,Vehicle Loan,Family-Owned,24,0
35,male,Unskilled Resident,19673,4561,747,452750,Education Loan,Family-Owned,36,0
53,male,Skilled Employee,66698,19542,676,141750,Consumer Durable Loan,Self-Owned,24,0
35,male,Highly Skilled,143682,23465,635,347400,Vehicle Loan,Rented,36,0
61,male,Unskilled Resident,41726,16926,716,152950,Consumer Durable Loan,Self-Owned,12,0
28,male,Highly Skilled,171317,27518,646,261700,Vehicle Loan,Self-Owned,30,0
25,female,Skilled Employee,53051,13194,813,64750,Vehicle Loan,Rented,12,0
24,female,Skilled Employee,79649,34207,651,215400,Business Loan,Rented,48,0
22,female,Skilled Employee,46949,17397,749,78350,Consumer Durable Loan,Self-Owned,12,1
60,male,Unskilled Resident,24521,5748,671,59950,Vehicle Loan,Self-Owned,24,0
28,female,Skilled Employee,95393,21539,742,70150,Vehicle Loan,Rented,15,0
32,female,Unskilled Resident,23017,3487,678,64100,Consumer Durable Loan,Self-Owned,24,0
53,male,Skilled Employee,46941,16838,619,121200,Consumer Durable Loan,Self-Owned,24,0
25,male,Skilled Employee,65934,10855,758,403600,Business Loan,Self-Owned,30,0
44,female,Highly Skilled,113386,35124,701,628950,Vehicle Loan,Family-Owned,24,0
31,male,Skilled Employee,99826,43787,742,171500,Consumer Durable Loan,Self-Owned,24,0
48,male,Skilled Employee,50209,9180,685,106700,Vehicle Loan,Self-Owned,9,0
44,male,Skilled Employee,57715,24144,613,132350,Consumer Durable Loan,Rented,6,1
48,male,Unskilled Resident,43920,19651,806,112050,Vehicle Loan,Rented,10,1
44,male,Skilled Employee,93413,15735,778,90200,Vehicle Loan,Self-Owned,12,0
26,male,Skilled Employee,96800,40159,674,103450,Consumer Durable Loan,Self-Owned,10,0
36,male,Unskilled Resident,24550,7483,725,68700,Consumer Durable Loan,Self-Owned,6,0
39,male,Unskilled Resident,36499,15400,803,21300,Consumer Durable Loan,Self-Owned,6,0
42,female,Skilled Employee,44637,14346,683,20450,Consumer Durable Loan,Rented,12,0
34,male,Skilled Employee,44854,15637,695,120750,Consumer Durable Loan,Self-Owned,7,0
63,male,Skilled Employee,92329,28911,739,341800,Business Loan,Self-Owned,60,0
36,male,Skilled Employee,96882,39658,683,95650,Business Loan,Self-Owned,18,0
27,male,Skilled Employee,83088,30756,788,201000,Consumer Durable Loan,Self-Owned,24,0
30,male,Skilled Employee,91332,27982,706,293300,Vehicle Loan,Self-Owned,18,0
57,male,Unskilled Resident,19892,8164,657,63200,Business Loan,Rented,12,1
33,female,Highly Skilled,129811,29023,768,73700,Consumer Durable Loan,Self-Owned,12,0
25,male,Unskilled Resident,31521,6216,628,237300,Consumer Durable Loan,Self-Owned,45,0
31,male,Skilled Employee,95479,18916,881,305500,Education Loan,Family-Owned,48,0
37,male,Skilled Employee,59856,14976,846,105000,Consumer Durable Loan,Self-Owned,18,0
37,male,Skilled Employee,61833,13702,761,61250,Personal Loan,Self-Owned,10,0
24,male,Skilled Employee,91984,39463,754,22900,Consumer Durable Loan,Self-Owned,9,0
30,male,Highly Skilled,109963,19985,750,116650,Consumer Durable Loan,Self-Owned,30,0
26,male,Skilled Employee,95123,34215,680,57900,Consumer Durable Loan,Self-Owned,12,1
44,male,Unskilled Resident,42607,8809,743,310200,Home Renovation Loan,Self-Owned,18,0
24,male,Skilled Employee,76932,31887,646,309350,Vehicle Loan,Rented,30,1
58,female,Unskilled Resident,42169,18486,760,307150,Vehicle Loan,Family-Owned,48,0
35,female,Highly Skilled,163477,47349,789,69650,Vehicle Loan,Self-Owned,11,0
39,male,Skilled Employee,54388,22501,689,114950,Consumer Durable Loan,Self-Owned,36,1
23,female,Unskilled,20569,3117,672,67600,Vehicle Loan,Rented,6,0
39,male,Unskilled Resident,19300,7642,623,361400,Vehicle Loan,Self-Owned,11,1
28,female,Skilled Employee,79037,17276,836,103650,Consumer Durable Loan,Self-Owned,12,0
29,male,Unskilled Resident,18818,7952,678,116650,Consumer Durable Loan,Self-Owned,24,1
30,male,Highly Skilled,102015,15336,704,298250,Vehicle Loan,Self-Owned,27,0
25,male,Skilled Employee,85002,26933,744,63100,Consumer Durable Loan,Self-Owned,12,0
31,male,Skilled Employee,91058,34328,742,168900,Vehicle Loan,Self-Owned,18,1
57,male,Skilled Employee,46254,10527,779,111250,Vehicle Loan,Family-Owned,36,0
26,male,Unskilled Resident,32144,6684,689,39150,Vehicle Loan,Self-Owned,6,0
52,male,Highly Skilled,114214,20013,628,323400,Consumer Durable Loan,Self-Owned,12,1
31,female,Skilled Employee,80118,19863,614,478300,Consumer Durable Loan,Self-Owned,36,0
23,female,Highly Skilled,170719,54280,673,98050,Vehicle Loan,Self-Owned,18,0
23,female,Unskilled Resident,21238,3923,643,311450,Consumer Durable Loan,Rented,36,1
27,male,Skilled Employee,46090,12122,695,69550,Business Loan,Self-Owned,9,0
50,male,Skilled Employee,51637,7886,824,76850,Consumer Durable Loan,Self-Owned,15,0
61,male,Highly Skilled,112415,44471,689,97650,Business Loan,Family-Owned,36,1
25,male,Skilled Employee,64071,12079,689,721050,Business Loan,Self-Owned,48,0
26,female,Skilled Employee,98243,23087,718,159050,Consumer Durable Loan,Self-Owned,24,0
48,male,Skilled Employee,85415,13284,687,259500,Home Renovation Loan,Self-Owned,27,0
29,female,Skilled Employee,82679,23123,714,108550,Consumer Durable Loan,Self-Owned,12,0
22,male,Skilled Employee,81240,32661,763,50350,Vehicle Loan,Self-Owned,12,0
